description,HS6
electrical resistors wirewound variable including rheostats and potentiometers for a power handling capacity exceeding 20w excluding heating,853339.0
electrical resistors variable including rheostats and potentiometers excluding heating,853340.0
resistors parts of the resistors of heading no 8533,853390.0
circuits printed,
circuits printed,853400.0
electrical apparatus fuses for a voltage exceeding 1000 volts,
electrical apparatus fuses for a voltage exceeding 1000 volts,853510.0
electrical apparatus automatic circuit breakers for a voltage exceeding 1000 volts but less than 725kv,853521.0
electrical apparatus automatic circuit breakers for a voltage of 725kv or more,853529.0
electrical apparatus isolating and makeandbreak switches for a voltage exceeding 1000 volts,853530.0
electrical apparatus lightning arresters voltage limiters and surge suppressors for a voltage exceeding 1000 volts,853540.0
electrical apparatus nec in heading no 8535 for switching or protecting electrical circuits for a voltage exceeding 1000 volts,853590.0
electrical apparatus fuses for a voltage not exceeding 1000 volts,
electrical apparatus fuses for a voltage not exceeding 1000 volts,853610.0
electrical apparatus automatic circuit breakers for a voltage not exceeding 1000 volts,853620.0
electrical apparatus for protecting electrical circuits nec in heading no 8536 for a voltage not exceeding 1000 volts,853630.0
electrical apparatus relays for a voltage not exceeding 60 volts,853641.0
electrical apparatus relays for a voltage exceeding 60 volts,853649.0
electrical apparatus switches nec in heading no 8536 for a voltage not exceeding 1000 volts,853650.0
electrical apparatus lampholders for a voltage not exceeding 1000 volts,853661.0
electrical apparatus plugs and sockets for a voltage not exceeding 1000 volts,853669.0
connectors for optical fibres optical fibre bundles or cables,853670.0
electrical apparatus nec in heading no 8536 for switching or protecting electrical circuits for a voltage not exceeding 1000 volts,853690.0
boards panels consoles desks and other bases for electric control or the distribution of electricity other than switching apparatus of heading no 8517 for a voltage not exceeding 1000 volts,
boards panels consoles desks and other bases for electric control or the distribution of electricity other than switching apparatus of heading no 8517 for a voltage not exceeding 1000 volts,853710.0
boards panels consoles desks and other bases for electric control or the distribution of electricity other than switching apparatus of heading no 8517 for a voltage exceeding 1000 volts,853720.0
electrical apparatus parts eg boards panels consoles desks cabinets other bases for goods of heading no 8537 not equipped with their apparatus,
electrical apparatus parts eg boards panels consoles desks cabinets other bases for goods of heading no 8537 not equipped with their apparatus,853810.0
electrical apparatus parts suitable for use solely or principally with the apparatus of heading no 8535 8536 or 8537,853890.0
lamps sealed beam units,
lamps sealed beam units,853910.0
lamps filament excluding ultraviolet or infrared tungsten halogen,853921.0
lamps filament excluding ultraviolet or infrared of a power not exceeding 200w and for a voltage exceeding 100 volts other than tungsten halogen,853922.0
lamps filament excluding ultraviolet or infrared nec in item no 85392,853929.0
lamps discharge excluding ultraviolet fluorescent hot cathode,853931.0
lamps discharge excluding ultraviolet mercury or sodium vapour lamps metal halide lamps,853932.0
lamps discharge excluding ultraviolet excluding fluorescent hot cathode,853939.0
lamps arclamps,853941.0
lamps ultraviolet or infrared lamps excluding arclamps,853949.0
lamps lightemitting diode led light sources lightemitting diode led modules,853951.0
lamps lightemitting diode led light sources lightemitting diode led lamps,853952.0
lamps parts of the lamps of heading no 8539,853990.0
tubes cathoderay television picture tubes including video monitor cathoderay tubes colour,
tubes cathoderay television picture tubes including video monitor cathoderay tubes colour,854011.0
tubes cathoderay television picture tubes including video monitor cathoderay tubes monochrome,854012.0
tubes television camera tubes image converters and intensifiers other photocathode tubes,854020.0
tubes datagraphic display tubes monochrome datagraphic display tubes colour with a phosphor dot screen pitch smaller than 04mm,854040.0
tubes cathode ray nec in heading no 8540,854060.0
tubes microwave magnetrons excluding gridcontrolled tubes,854071.0
tubes microwave for example klystrons travelling wave tubes carlinotrons excluding magnetrons and gridcontrolled tubes,854079.0
valves and tubes receiver or amplifier,854081.0
valves and tubes nec in heading no 8540,854089.0
tubes parts of cathoderay tubes,854091.0
valves and tubes parts of the valves and tubes of heading no 8540 excluding parts of cathoderay tubes,854099.0
electrical apparatus diodes other than photosensitive or lightemitting diodes led,
electrical apparatus diodes other than photosensitive or lightemitting diodes led,854110.0
electrical apparatus transistors other than photosensitive with a dissipation rate of less than 1w,854121.0
electrical apparatus transistors other than photosensitive with a dissipation rate of 1w or more,854129.0
electrical apparatus thyristors diacs and triacs other than photosensitive devices,854130.0
electrical apparatus photosensitive semiconductor devices light emitting diodes led,854141.0
electrical apparatus photosensitive semiconductor devices photovoltaic cells not assembled in modules or made up into panels,854142.0
electrical apparatus photosensitive semiconductor devices photovoltaic cells assembled in modules or made up into panels,854143.0
electrical apparatus photosensitive semiconductor devices diodes other than light emitting diodes and photovoltaic cells whether or not assembled in modules or made up into panels,854149.0
electrical apparatus photosensitive semiconductor devices semiconductorbased transducers,854151.0
electrical apparatus photosensitive semiconductor devices nec in heading no 8541,854159.0
crystals mounted piezoelectric,854160.0
electrical apparatus parts for diodes transistors and similar semiconductor devices and photosensitive semiconductor devices,854190.0
electronic integrated circuits processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,
electronic integrated circuits processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,854231.0
electronic integrated circuits memories,854232.0
electronic integrated circuits amplifiers,854233.0
electronic integrated circuits nec in heading no 8542,854239.0
parts of electronic integrated circuits,854290.0
electrical machines and apparatus particle accelerators,
electrical machines and apparatus particle accelerators,854310.0
electrical machines and apparatus signal generators,854320.0
electrical machines and apparatus for electroplating electrolysis or electrophoresis,854330.0
electrical machines and apparatus electronic cigarettes and similar personal electric vaporising devices,854340.0
electrical machines and apparatus having individual functions not specified or included elsewhere in this chapter nec in heading no 8543,854370.0
electrical machines and apparatus parts of the electrical goods of heading no 8543,854390.0
insulated electric conductors winding wire of copper,
insulated electric conductors winding wire of copper,854411.0
insulated electric conductors winding wire of other than copper,854419.0
insulated electric conductors coaxial cable and other coaxial electric conductors,854420.0
insulated electric conductors ignition wiring sets and other wiring sets of a kind used in vehicles aircraft or ships,854430.0
insulated electric conductors for a voltage not exceeding 1000 volts fitted with connectors,854442.0
insulated electric conductors for a voltage not exceeding 1000 volts not fitted with connectors,854449.0
insulated electric conductors for a voltage exceeding 1000 volts,854460.0
insulated electric conductors optical fibre cables,854470.0
carbon electrodes with or without metal of a kind used for furnaces,
carbon electrodes with or without metal of a kind used for furnaces,854511.0
carbon electrodes with or without metal of a kind used for other than furnaces,854519.0
carbon brushes with or without metal used for electrical purposes,854520.0
carbon lamp carbons battery carbons and other articles of graphite or other carbon with or without metal of a kind used for electrical purposes,854590.0
electrical insulators of glass,
electrical insulators of glass,854610.0
electrical insulators of ceramics,854620.0
electrical insulators other than of glass and ceramics,854690.0
insulating fittings of ceramics for electrical machines of insulating material only except minor assembly parts excluding those of heading no 8546,
insulating fittings of ceramics for electrical machines of insulating material only except minor assembly parts excluding those of heading no 8546,854710.0
insulating fittings of plastics for electrical machines of insulating material only except minor assembly parts excluding those of heading no 8546,854720.0
insulating fittings other than of ceramics or plastics for electrical machines appliances and equipment excluding insulators of heading no 8546,854790.0
electrical parts of machinery or apparatus not specified or elsewhere included in this chapter,
electrical parts of machinery or apparatus not specified or elsewhere included in this chapter,854800.0
waste and scrap of leadacid accumulators spent leadacid accumulators,
waste and scrap of leadacid accumulators spent leadacid accumulators,854911.0
waste and scrap of primary cells primary batteries and electric accumulators spent or not containing lead cadmium or mercury other than leadacid accumulators,854912.0
waste and scrap of primary cells primary batteries and electric accumulators spent or not sorted by chemical type and not containing lead cadmium or mercury,854913.0
waste and scrap of primary cells primary batteries and electric accumulators spent or not unsorted and not containing lead cadmium or mercury,854914.0
waste and scrap of primary cells primary batteries and electric accumulators nec in item no 85491,854919.0
electrical and electronic waste and scrap of a kind used principally for the recovery of precious metal containing primary cells and batteries electric accumulators mercuryswitches glass from cathode ray tubes or other activated glass or electrical,854921.0
waste and scrap of a kind used principally for the recovery of precious metal nec in item no 854921,854929.0
electrical and electronic waste and scrap electrical and electronic assemblies and printed circuit boards other than those used principally for the recovery of precious metal containing primary cells and batteries electric accumulators mercuryswitch,854931.0
waste and scrap electrical and electronic assemblies and printed circuit boards other than those used principally for the recovery of precious metal nec in item no 854931,854939.0
waste and scrap nec in heading no 8549,854991.0
waste and scrap nec in item no 854991,854999.0
rail locomotives powered from an external source of electricity,
rail locomotives powered from an external source of electricity,
rail locomotives powered from an external source of electricity,860110.0
rail locomotives powered by electric accumulators,860120.0
rail locomotives dieselelectric powered,
rail locomotives dieselelectric powered,860210.0
rail locomotives and locomotive tenders other than dieselelectric powered,860290.0
railway or tramway coaches vans and trucks selfpropelled powered from an external source of electricity excluding those of heading no 8604,
railway or tramway coaches vans and trucks selfpropelled powered from an external source of electricity excluding those of heading no 8604,860310.0
railway or tramway coaches vans and trucks selfpropelled powered other than from an external source of electricity excluding those of heading no 8604,860390.0
railway or tramway maintenance or service vehicles whether or not selfpropelled eg workshops cranes ballast tampers trackliners testing coaches and track inspection vehicles,
railway or tramway maintenance or service vehicles whether or not selfpropelled eg workshops cranes ballast tampers trackliners testing coaches and track inspection vehicles,860400.0
railway or tramway coaches passenger coaches luggage vans post office coaches and other special purpose railway or tramway coaches not selfpropelled excluding those of heading no 8604,
railway or tramway coaches passenger coaches luggage vans post office coaches and other special purpose railway or tramway coaches not selfpropelled excluding those of heading no 8604,860500.0
railway or tramway goods vans and wagons tank wagons and the like not selfpropelled,
railway or tramway goods vans and wagons tank wagons and the like not selfpropelled,860610.0
railway or tramway goods vans and wagons selfdischarging not selfpropelled excluding those of item no 860610,860630.0
railway or tramway goods vans and wagons covered and closed not selfpropelled,860691.0
railway or tramway goods vans and wagons open with nonremovable sides of a height exceeding 60cm not selfpropelled,860692.0
railway or tramway goods vans and wagons nec in heading no 8606 not selfpropelled,860699.0
railway or tramway locomotives or rolling stock parts driving bogies and bisselbogies,
railway or tramway locomotives or rolling stock parts driving bogies and bisselbogies,860711.0
railway or tramway locomotives or rolling stock parts bogies and bisselbogies excluding driving bogies and bisselbogies,860712.0
railway or tramway locomotives or rolling stock parts axles and wheels and parts thereof,860719.0
railway or tramway locomotives or rolling stock parts air brakes and parts thereof,860721.0
railway or tramway locomotives or rolling stock parts brakes other than air brakes and parts thereof,860729.0
railway or tramway locomotives or rolling stock parts hooks and other coupling devices buffers and parts thereof,860730.0
railway or tramway locomotives parts nec in heading no 8607,860791.0
railway or tramway rolling stock parts nec in heading no 8607,860799.0
railway or tramway track fixtures and fittings mechanical including electromechanical signalling safety or traffic control equipment for railways tramways roads inland waterways parking facilities port installations or airfields parts thereof,
railway or tramway track fixtures and fittings mechanical including electromechanical signalling safety or traffic control equipment for railways tramways roads inland waterways parking facilities port installations or airfields parts thereof,860800.0
containers including containers for transport of fluids specially designed and equipped for carriage by one or more modes of transport,
containers including containers for transport of fluids specially designed and equipped for carriage by one or more modes of transport,860900.0
tractors single axle,
tractors single axle,
tractors single axle,870110.0
tractors road tractors for semitrailers with only compressionignition internal combustion piston engine diesel or semidiesel,870121.0
tractors road tractors for semitrailers with both compressionignition internal combustion piston engine diesel or semidiesel and electric motors for propulsion,870122.0
tractors road tractors for semitrailers with both sparkignition internal combustion piston engine and electric motors for propulsion,870123.0
tractors road tractors for semitrailers with only electric motors for propulsion,870124.0
tractors road tractors for semitrailers with other propulsion methods nec in item no 87012,870129.0
tractors tracklaying,870130.0
tractors nec in heading no 8701 other than tractors of heading no 8709 of an engine power not exceeding 18kw,870191.0
tractors nec in heading no 8701 other than tractors of heading no 8709 of an engine power exceeding 18kw but not exceeding 37kw,870192.0
tractors nec in heading no 8701 other than tractors of heading no 8709 of an engine power exceeding 37kw but not exceeding 75kw,870193.0
tractors nec in heading no 8701 other than tractors of heading no 8709 of an engine power exceeding 75kw but not exceeding 130kw,870194.0
tractors nec in heading no 8701 other than tractors of heading no 8709 of an engine power exceeding 130kw,870195.0
vehicles public transport type carries 10 or more persons including driver with only compressionignition internal combustion piston engine diesel or semidiesel new or used,
vehicles public transport type carries 10 or more persons including driver with only compressionignition internal combustion piston engine diesel or semidiesel new or used,870210.0
vehicles public transport type carries 10 or more persons including driver with both compressionignition internal combustion piston engine diesel or semidiesel and electric motor for propulsion new or used,870220.0
vehicles public transport type carries 10 or more persons including driver with both compressionignition internal combustion piston engine diesel or semidiesel and electric motor for propulsion new or used,870230.0
vehicles public transport type carries 10 or more persons including driver with only electric motor for propulsion new or used,870240.0
vehicles public transport type carries 10 or more persons including driver nec in heading 8702 new or used,870290.0
vehicles specially designed for travelling on snow golf cars and similar vehicles,
vehicles specially designed for travelling on snow golf cars and similar vehicles,870310.0
vehicles with only sparkignition internal combustion piston engine cylinder capacity not over 1000cc,870321.0
vehicles with only sparkignition internal combustion piston engine cylinder capacity over 1000 but not over 1500cc,870322.0
vehicles with only sparkignition internal combustion reciprocating piston engine cylinder capacity over 1500 but not over 3000cc,870323.0
vehicles with only sparkignition internal combustion reciprocating piston engine cylinder capacity over 3000cc,870324.0
vehicles with only compressionignition internal combustion piston engine diesel or semidiesel cylinder capacity not over 1500cc,870331.0
vehicles with only compressionignition internal combustion piston engine diesel or semidiesel cylinder capacity over 1500 but not over 2500cc,870332.0
vehicles with only compressionignition internal combustion piston engine diesel or semidiesel cylinder capacity over 2500cc,870333.0
vehicles with both sparkignition internal combustion piston engine and electric motor for propulsion incapable of being charged by plugging to external source of electric power,870340.0
vehicles with both compressionignition internal combustion piston engine diesel or semidiesel and electric motor for propulsion incapable of being charged by plugging to external source of electric power,870350.0
vehicles with both sparkignition internal combustion piston engine and electric motor for propulsion capable of being charged by plugging to external source of electric power,870360.0
vehicles with both compressionignition internal combustion piston engine diesel or semidiesel and electric motor for propulsion capable of being charged by plugging to external source of electric power,870370.0
vehicles with only electric motor for propulsion,870380.0
vehicles for transport of persons other than those of heading no 8702 nec in heading no 8703,870390.0
vehicles dumpers designed for offhighway use for transport of goods,
vehicles dumpers designed for offhighway use for transport of goods,870410.0
vehicles with only compressionignition internal combustion piston engine diesel or semidiesel for transport of goods of a gvw not exceeding 5 tonnes nec in item no 87041,870421.0
vehicles with only compressionignition internal combustion piston engine diesel or semidiesel for transport of goods of a gvw exceeding 5 tonnes but not exceeding 20 tonnes nec in item no 87041,870422.0
vehicles with only compressionignition internal combustion piston engine diesel or semidiesel for transport of goods of a gvw exceeding 20 tonnes nec in item no 87041,870423.0
vehicles with only sparkignition internal combustion piston engine for transport of goods of a gvw not exceeding 5 tonnes nec in item no 87041,870431.0
vehicles with only sparkignition internal combustion piston engine for transport of goods of a gvw exceeding 5 tonnes nec in item no 87041,870432.0
vehicles with both compressionignition internal combustion piston engine dieselsemidiesel and electric motor as motor for propulsion unassembled as in section 14 gvw not exceeding 5000kg for the transport of goods vans,870441.0
vehicles with both compressionignition internal combustion piston engine dieselsemidiesel and electric motors for propulsion of a gvw exceeding 5000kg but not exceeding 20000kg,870442.0
vehicles with both compressionignition internal combustion piston engine dieselsemidiesel and electric motors for propulsion of a gvw exceeding 20000kg,870443.0
vehicles with both sparkignition internal combustion piston engine and electric motors for propulsion of a gvw not exceeding 5000kg,870451.0
vehicles with both sparkignition internal combustion piston engine and electric motors for propulsion of a gvw exceeding 5000kg,870452.0
vehicles with only electric motor for propulsion,870460.0
vehicles for transport of goods nec in heading no 8704,870490.0
vehicles crane lorries,
vehicles crane lorries,870510.0
vehicles mobile drilling derricks,870520.0
vehicles fire fighting vehicles,870530.0
vehicles concretemixer lorries,870540.0
vehicles breakdown lorries roadsweepers spraying lorries mobile workshops mobile radiological units and other special purpose vehicles nec in heading no 8705,870590.0
chassis fitted with engines for the motor vehicles of heading no 8701 to 8705,
chassis fitted with engines for the motor vehicles of heading no 8701 to 8705,870600.0
vehicles bodies including cabs for the motor vehicles of heading no 8703,
vehicles bodies including cabs for the motor vehicles of heading no 8703,870710.0
vehicles bodies including cabs for the motor vehicles of heading no 8701 8702 8704 or 8705,870790.0
vehicles bumpers and parts thereof for the vehicles of heading no 8701 to 8705,
vehicles bumpers and parts thereof for the vehicles of heading no 8701 to 8705,870810.0
vehicles parts of bodies safety seat belts,870821.0
vehicles parts and accessories front windscreens windshields rear windows and other windows specified in subheading note 1 to this chapter,870822.0
vehicles parts and accessories of bodies other than safety seat belts,870829.0
vehicle parts brakes servobrakes and parts thereof,870830.0
vehicle parts gear boxes and parts thereof,870840.0
vehicle parts driveaxles with differential whether or not provided with other transmission components and nondriving axles parts thereof,870850.0
vehicle parts road wheels and parts and accessories thereof,870870.0
vehicle parts suspension systems and parts thereof including shockabsorbers,870880.0
vehicle parts radiators and parts thereof,870891.0
vehicle parts silencers mufflers and exhaust pipes parts thereof,870892.0
vehicle parts clutches and parts thereof,870893.0
vehicle parts steering wheels steering columns and steering boxes parts thereof,870894.0
vehicle parts safety airbags with inflater system parts thereof,870895.0
vehicle parts and accessories nec in heading no 8708,870899.0
vehicles electrical selfpropelled not fitted with lifting or handling equipment of the type used for short distance transport of goods in factories warehouses dock areas or airports,
vehicles electrical selfpropelled not fitted with lifting or handling equipment of the type used for short distance transport of goods in factories warehouses dock areas or airports,870911.0
vehicles not electrical selfpropelled without handling equipment used for short distance transport of goods in factories airports and such and tractors of the type used on railway station platforms,870919.0
vehicles parts of the vehicles of heading no 8709,870990.0
tanks and other armoured fighting vehicles motorised whether or not fitted with weapons and parts of such vehicles,
tanks and other armoured fighting vehicles motorised whether or not fitted with weapons and parts of such vehicles,871000.0
motorcycles including mopeds and cycles fitted with an auxiliary motor with internal combustion piston engine of a cylinder capacity not exceeding 50cc with or without sidecars sidecars,
motorcycles including mopeds and cycles fitted with an auxiliary motor with internal combustion piston engine of a cylinder capacity not exceeding 50cc with or without sidecars sidecars,871110.0
motorcycles including mopeds and cycles fitted with an auxiliary motor internal combustion piston engine of cylinder capacity exceeding 50cc but not exceeding 250cc with or without sidecars sidecars,871120.0
motorcycles including mopeds and cycles fitted with an auxiliary motor internal combustion piston engine of cylinder capacity exceeding 250cc but not exceeding 500cc with or without sidecars sidecars,871130.0
motorcycles including mopeds and cycles fitted with auxiliary motor internal combustion piston engine of cylinder capacity exceeding 500cc but not exceeding 800cc with or without sidecars sidecars,871140.0
motorcycles including mopeds and cycles fitted with auxiliary motor with internal combustion piston engine of a cylinder capacity exceeding 800cc with or without sidecars sidecars,871150.0
motorcycles including mopeds and cycles fitted with auxiliary motor with electric motor for propulsion with or without sidecars sidecars,871160.0
motorcycles including mopeds and cycles nec in heading no 8711 fitted with auxiliary motor with or without sidecars sidecars,871190.0
bicycles and other cycles including delivery tricycles not motorised,
bicycles and other cycles including delivery tricycles not motorised,871200.0
carriages for disabled persons not mechanically propelled,
carriages for disabled persons not mechanically propelled,871310.0
carriages for disabled persons mechanically propelled,871390.0
motorcycles including mopeds parts and accessories,
motorcycles including mopeds parts and accessories,871410.0
carriages for disabled persons parts and accessories thereof,871420.0
cycles frames and forks and parts thereof,871491.0
cycles parts thereof wheel rims and spokes,871492.0
cycles parts thereof hubs other than coaster braking hubs and hub brakes and freewheel sprocketwheels,871493.0
cycles parts thereof brakes including coaster braking hubs and hubbrakes and parts thereof,871494.0
cycles parts thereof saddles,871495.0
cycles parts pedals and crankgear and parts thereof,871496.0
cycles parts thereof nec in item no 87149,871499.0
baby carriages and parts thereof,
baby carriages and parts thereof,871500.0
trailers and semitrailers of the caravan type for housing or camping,
trailers and semitrailers of the caravan type for housing or camping,871610.0
trailers and semitrailers selfloading or selfunloading for agricultural purposes,871620.0
tanker trailers and tanker semitrailers,871631.0
trailers and semitrailers other than tanker type,871639.0
trailers and semitrailers nec in item no 87163,871640.0
vehicles nec in heading no 8716,871680.0
trailers semitrailers and other vehicles not mechanically propelled parts thereof for heading no 8716,871690.0
balloons and dirigibles gliders hang gliders and other nonpowered aircraft,
balloons and dirigibles gliders hang gliders and other nonpowered aircraft,
balloons and dirigibles gliders hang gliders and other nonpowered aircraft,880100.0
helicopters except unmanned of an unladen weight not exceeding 2000kg,
helicopters except unmanned of an unladen weight not exceeding 2000kg,880211.0
helicopters except unmanned of an unladen weight exceeding 2000kg,880212.0
aeroplanes and other aircraft except unmanned of an unladen weight not exceeding 2000kg,880220.0
aeroplanes and other aircraft except unmanned of an unladen weight exceeding 2000kg but not exceeding 15000kg,880230.0
aeroplanes and other aircraft except unmanned of an unladen weight exceeding 15000kg,880240.0
spacecraft including satellites and suborbital and spacecraft launch vehicles,880260.0
parachutes including dirigible parachutes and paragliders and rotochutes parts thereof and accessories thereto,
parachutes including dirigible parachutes and paragliders and rotochutes parts thereof and accessories thereto,880400.0
aircraft launching gear deckarrestor or similar gear and parts thereof,
aircraft launching gear deckarrestor or similar gear and parts thereof,880510.0
ground flying trainers and parts thereof air combat simulators and parts thereof,880521.0
ground flying trainers and parts thereof other than air combat simulators and parts thereof,880529.0
unmanned aircraft for carriage of passengers,
unmanned aircraft for carriage of passengers,880610.0
unmanned aircraft for remotecontrolled flight only for other than for carriage of passengers with the maximum takeoff weight of not more than 250g,880621.0
unmanned aircraft for remotecontrolled flight only for other than for carriage of passengers with the maximum takeoff weight of more than 250g but not more than 7kg,880622.0
unmanned aircraft for remotecontrolled flight only for other than for carriage of passengers with the maximum takeoff weight of more than 7kg but not more than 25kg,880623.0
unmanned aircraft for remotecontrolled flight only for other than for carriage of passengers with the maximum takeoff weight of more than 25kg but not more than 150kg,880624.0
unmanned aircraft for remotecontrolled flight only for other than for carriage of passengers with the maximum takeoff weight of more than 150kg,880629.0
unmanned aircraft for other than remotecontrolled flight and other than for carriage of passengers with a maximum takeoff weight not more than 250g,880691.0
unmanned aircraft for other than remotecontrolled flight and other than for carriage of passengers with a maximum takeoff weight more than 250g but not more than 7kg,880692.0
unmanned aircraft for other than remotecontrolled flight and other than for carriage of passengers with a maximum takeoff weight more than 7kg but not more than 25kg,880693.0
unmanned aircraft for other than remotecontrolled flight and other than for carriage of passengers with a maximum takeoff weight more than 25kg but not more than 150kg,880694.0
unmanned aircraft for other than remotecontrolled flight and other than for carriage of passengers with a maximum takeoff weight more than 150kg,880699.0
aircraft and spacecraft propellers and rotors and parts thereof,
aircraft and spacecraft propellers and rotors and parts thereof,880710.0
aircraft and spacecraft undercarriages and parts thereof,880720.0
aircraft and spacecraft parts of aeroplanes helicopters or unmanned aircraft nec in heading no 8807,880730.0
aircraft and spacecraft parts thereof nec in chapter 88,880790.0
cruise ships excursion boats and similar vessels principally designed for the transport of persons ferry boats of all kinds,
cruise ships excursion boats and similar vessels principally designed for the transport of persons ferry boats of all kinds,
cruise ships excursion boats and similar vessels principally designed for the transport of persons ferry boats of all kinds,890110.0
tankers,890120.0
vessels refrigerated other than tankers,890130.0
vessels nec in heading no 8901 for the transport of goods and other vessels for the transport of both persons and goods,890190.0
fishing vessels factory ships and other vessels for processing or preserving fishery products,
fishing vessels factory ships and other vessels for processing or preserving fishery products,890200.0
yachts and other vessels for pleasure or sports inflatable including rigid hull inflatable fitted or designed to be fitted with a motor unladen net weight excluding the motor not exceeding 100kg,
yachts and other vessels for pleasure or sports inflatable including rigid hull inflatable fitted or designed to be fitted with a motor unladen net weight excluding the motor not exceeding 100kg,890311.0
yachts and other vessels for pleasure or sports inflatable including rigid hull inflatable not designed to be used with a motor and unladen net weight not exceeding 100kg,890312.0
yachts and other vessels for pleasure or sports inflatable including rigid hull inflatable unladen net weight exceeding 100kg,890319.0
sailboats other than inflatable with or without auxiliary motor for pleasure or sports of a length not exceeding 75m,890321.0
sailboats other than inflatable with or without auxiliary motor for pleasure or sports of a length exceeding 75m but not exceeding 24m,890322.0
sailboats other than inflatable with or without auxiliary motor for pleasure or sports of a length exceeding 24m,890323.0
motorboats other than outboard motorboats for pleasure or sports other than inflatable of a length not exceeding 75m,890331.0
motorboats other than outboard motorboats for pleasure or sports other than inflatable of a length exceeding 75m but not exceeding 24m,890332.0
motorboats other than outboard motorboats for pleasure or sports other than inflatable of a length exceeding 24m,890333.0
vessels other than sailboats and motorboats for pleasure or sports other than inflatable of a length not exceeding 75m,890393.0
vessels other than sailboats and motorboats for pleasure or sports other than inflatable of a length exceeding 75m,890399.0
tugs and pusher craft,
tugs and pusher craft,890400.0
dredgers,
dredgers,890510.0
floating or submersible drilling or production platforms,890520.0
vessels light firefloats floating cranes and other vessels the navigability of which is subsidiary to their main function floating docks,890590.0
vessels warships,
vessels warships,890610.0
vessels other including lifeboats other than rowing boats other than warships,890690.0
rafts inflatable,
rafts inflatable,890710.0
floating structures tanks cofferdams landing stages buoys and beacons,890790.0
vessels and other floating structures for breaking up,
vessels and other floating structures for breaking up,890800.0
optical fibres optical fibre bundles and cables excluding those of heading no 8544,
optical fibres optical fibre bundles and cables excluding those of heading no 8544,
optical fibres optical fibre bundles and cables excluding those of heading no 8544,900110.0
optical elements polarising material sheets and plates thereof,900120.0
lenses contact unmounted of any material excluding elements of glass not optically worked,900130.0
lenses spectacle unmounted of glass excluding elements of glass not optically worked,900140.0
lenses spectacle unmounted of materials other than glass,900150.0
optical elements lenses nec in heading no 9001 prisms mirrors and other optical elements unmounted of any material excluding elements of glass not optically worked,900190.0
lenses objective for cameras projectors or photographic enlargers or reducers mounted being parts or fittings for instruments or apparatus of any material excluding glass not optically worked,
lenses objective for cameras projectors or photographic enlargers or reducers mounted being parts or fittings for instruments or apparatus of any material excluding glass not optically worked,900211.0
lenses objective other than for cameras projectors or photographic enlargers or reducers mounted of any material excluding elements of glass not optically worked,900219.0
filters mounted as parts or fittings for instruments or apparatus of any material excluding elements of glass not optically worked,900220.0
optical elements nec in heading no 9002 eg prisms and mirrors mounted being parts or fittings for instruments or apparatus of any material excluding elements of glass not optically worked,900290.0
frames and mountings for spectacles goggles or the like of plastics,
frames and mountings for spectacles goggles or the like of plastics,900311.0
frames and mountings for spectacles goggles or the like of materials other than plastics,900319.0
frames and mountings parts for spectacles goggles or the like,900390.0
sunglasses corrective protective or other,
sunglasses corrective protective or other,900410.0
spectacles goggles and the like other than sunglasses corrective protective or other,900490.0
binoculars,
binoculars,900510.0
monoculars other optical telescopes and astronomical instruments excluding instruments for radioastronomy,900580.0
binoculars monoculars other optical telescopes astronomical instruments excluding those of radioastronomy parts and accessories including mountings,900590.0
cameras photographic excluding cinematographic specially designed for underwater use aerial survey medical or surgical examination of internal organs comparison cameras for forensic or criminological use,
cameras photographic excluding cinematographic specially designed for underwater use aerial survey medical or surgical examination of internal organs comparison cameras for forensic or criminological use,900630.0
cameras photographic excluding cinematographic instant print cameras,900640.0
cameras photographic excluding cinematographic for roll film of a width of 35mm,900653.0
cameras photographic excluding cinematographic nec in heading no 9006,900659.0
photographic flashlight apparatus discharge lamp electronic,900661.0
photographic flashlight apparatus nec in heading no 9006,900669.0
cameras photographic excluding cinematographic parts and accessories,900691.0
photographic flashlight apparatus parts and accessories for other than cameras,900699.0
cameras cinematographic whether or not incorporating sound recording apparatus,
cameras cinematographic whether or not incorporating sound recording apparatus,900710.0
projectors cinematographic whether or not incorporating sound recording or reproducing apparatus,900720.0
cameras cinematographic parts and accessories whether or not incorporating sound recording apparatus,900791.0
projectors cinematographic parts and accessories whether or not incorporating sound reproducing apparatus,900792.0
image projectors photographic enlargers and reducers excluding cinematographic,
image projectors photographic enlargers and reducers excluding cinematographic,900850.0
photographic other than cinematographic image projectors enlargers and reducers parts and accessories,900890.0
photographic laboratory apparatus and equipment for automatically developing photographic including cinematographic film or paper in rolls or for automatically exposing developed film to rolls of paper,
photographic laboratory apparatus and equipment for automatically developing photographic including cinematographic film or paper in rolls or for automatically exposing developed film to rolls of paper,901010.0
photographic laboratory apparatus and equipment nec in item no 901010 for photographic including cinematographic laboratories negatoscopes,901050.0
photographic laboratory apparatus and equipment including cinematographic projection screens,901060.0
photographic laboratory apparatus and equipment including cinematographic parts and accessories,901090.0
microscopes compound optical stereoscopic microscopes,
microscopes compound optical stereoscopic microscopes,901110.0
microscopes compound optical for photomicrography cinephotomicrography or microprojection,901120.0
microscopes compound optical other than stereoscopic and microscopes for photomicrography cinephotomicrography or microprojection,901180.0
